Date, Time, Device ID, Project, Location, Coordinator?, Network Code, Setup Date, Teardown Date, Upload Rate, Light, RH, Globe Temp, Sound, CO2, Particle, CO
10/5/2017, 16:5:19, SensorPod1, PMtest, TS1, Coordinator,1, 2017-10-5, 2017-10-6,2000,120,300,120,120,300,60,300
10/18/2017, 18:44:34, Eddie, PM/DB Verify, GMD Breakroom, Drone,1, 2017-10-18, 2018-10-18,10001,60,60,60,60,60,60,60
10/18/2017, 18:56:8, Eddie, PM/DB Verify, GMD Break, Drone,1, 2017-10-18, 2018-10-18,10001,60,60,60,60,60,60,60
10/18/2017, 19:45:55, Eddie, PM/DB Verify, GMD Break, Coordinator,1, 2017-10-18, 2018-10-18,10001,60,60,60,60,60,60,60
10/19/2017, 13:53:52, pod1, test, YS, Drone,1, 2017-01-19, 2017-10-19,10001,120,120,10,10,120,120,120
10/20/2017, 9:16:48, Podd1, wkndTest, TS, Coordinator,1, 2017-10-20, 2017-10-23,10001,120,60,60,120,300,600,300
10/20/2017, 9:51:21, Podd1, wkndTest, TS, Coordinator,1, 2017-10-20, 2017-10-23,10001,120,60,60,120,300,600,300
10/20/2017, 9:53:47, Podd1, wkndTest, TS, Coordinator,1, 2017-10-20, 2017-10-23,10001,120,60,60,120,300,600,300
10/20/2017, 10:29:4, Podd1, uploadTest, TS, Drone,1, 2017-10-20, 2017-10-20,10001,120,60,60,120,300,600,300
10/20/2017, 12:21:18, Podd1, PMtest, TS, Drone,1, 2017-10-20, 2017-10-20,10001,120,120,120,120,300,5,300
10/22/2017, 14:15:18, Podd1, PMtest, TS, Coordinator,1, 2017-10-20, 2017-10-20,10001,120,120,120,120,120,150,120
10/22/2017, 15:23:18, Podd1, PMtest, TS, Drone,1, 2017-10-22, 2017-10-22,10001,120,120,120,120,12,150,120
10/22/2017, 15:25:13, Podd1, PMtest, TS, Coordinator,1, 2017-10-22, 2017-10-22,10001,120,120,120,120,12,150,120
10/24/2017, 10:42:27, podd1, testing, TS, Coordinator,1, 2017-10-24, 2017-10-26,10001,60,120,120,120,600,600,600
11/7/2017, 11:13:54, npodd1, ntesting, BMLW, Coordinator,1, 2017-11-07, 2017-11-07,10001,5,5,5,5,5,5,5
11/7/2017, 11:55:24, npodd1, ntesting, BMLW, Coordinator,1, 2017-11-07, 2017-11-07,10001,5,5,5,5,5,5,5
11/7/2017, 14:13:38, gbpodd1tu, gbtestingtu, 206AB, Coordinator,1, 2017-11-07, 2017-11-07,10001,5,5,5,5,5,5,5
11/7/2017, 22:45:17, bcpodd1, bctesting, bc, Drone,1, 2017-11-07, 2017-11-07,10001,5,5,5,5,5,5,5
11/7/2017, 23:43:6, bcpodd1, bctesting, bc, Drone,1, 2017-11-07, 2017-11-07,10001,5,5,5,5,5,5,5
11/8/2017, 10:11:25, pmrpodd1, pmrtesting, pmr, Drone,1, 2017-11-08, 2017-11-08,10001,5,5,5,5,5,5,5
200-1-1, 0:18:56, center, SpecialSes, 206AB, Drone,1, 2017-11-10, 2017-11-10,10000,30,120,30,60,60,300,300
11/20/2017, 15:30:37, CRdrone1, CRtesting, Lobby, Drone,1, 2017-11-20, 2017-11-22,10000,120,300,120,120,300,3600,300
