Date, Time, Light, RH, Air Temp (F), Globe Temp, Sound (dB), CO2 (PPM), PM 2.5, PM 10, CO_SpecSensor
17-9-21, 9:54:19, , , , , 50.30, , , , 
17-9-21, 9:54:20, 1003.23, , , , , , , , 
17-9-21, 9:54:21, , , , 69.57, , , , , 
17-9-21, 9:56:19, , , , , 48.20, , , , 
17-9-21, 9:56:20, 987.10, , , , , , , , 
17-9-21, 9:56:21, , , , 69.57, , , , , 
17-9-21, 9:57:14, , , , , , 802, , , 
17-9-21, 9:57:15, , , , , , , , , 1.00
17-9-21, 9:57:17, , 40.04, 78.11, , , , , , 
17-9-21, 9:58:19, , , , , 49.90, , , , 
17-9-21, 9:58:20, 990.32, , , , , , , , 
17-9-21, 9:58:21, , , , 69.57, , , , , 
17-9-21, 10:0:19, , , , , 51.60, , , , 
17-9-21, 10:0:20, 1051.61, , , , , , , , 
17-9-21, 10:0:21, , , , 70.99, , , , , 
17-9-21, 10:2:19, , , , , 48.60, , , , 
17-9-21, 10:2:20, 1019.35, , , , , , , , 
17-9-21, 10:2:21, , , , 69.81, , , , , 
17-9-21, 10:2:22, , , , , , 793, , , 
17-9-21, 10:2:23, , , , , , , , , 1.00
17-9-21, 10:2:24, , 40.53, 77.93, , , , , , 
17-9-21, 10:4:19, , , , , 48.10, , , , 
17-9-21, 10:4:20, 1000.00, , , , , , , , 
17-9-21, 10:4:21, , , , 69.81, , , , , 
17-9-21, 10:6:19, , , , , 47.40, , , , 
17-9-21, 10:6:20, 1041.94, , , , , , , , 
17-9-21, 10:6:21, , , , 69.57, , , , , 
17-9-21, 10:7:22, , , , , , 800, , , 
17-9-21, 10:7:23, , , , , , , , , 1.00
17-9-21, 10:7:24, , 40.26, 78.04, , , , , , 
17-9-21, 10:8:19, , , , , 49.90, , , , 
17-9-21, 10:8:20, 1019.35, , , , , , , , 
17-9-21, 10:8:21, , , , 70.04, , , , , 
17-9-21, 10:10:19, , , , , 53.10, , , , 
17-9-21, 10:10:20, 1019.35, , , , , , , , 
17-9-21, 10:10:21, , , , 70.04, , , , , 
17-9-21, 10:12:19, , , , , 50.30, , , , 
17-9-21, 10:12:20, 1074.19, , , , , , , , 
17-9-21, 10:12:21, , , , 70.04, , , , , 
17-9-21, 10:12:22, , , , , , 793, , , 
17-9-21, 10:12:23, , , , , , , , , 1.00
17-9-21, 10:12:24, , 40.26, 78.04, , , , , , 
17-9-21, 10:14:19, , , , , 50.20, , , , 
17-9-21, 10:14:20, 1119.35, , , , , , , , 
17-9-21, 10:14:21, , , , 70.04, , , , , 
17-9-21, 10:16:19, , , , , 49.00, , , , 
17-9-21, 10:16:20, 1158.06, , , , , , , , 
17-9-21, 10:16:21, , , , 70.04, , , , , 
17-9-21, 10:17:22, , , , , , 783, , , 
17-9-21, 10:17:23, , , , , , , , , 1.00
17-9-21, 10:17:24, , 39.81, 78.19, , , , , , 
17-9-21, 10:18:19, , , , , 49.00, , , , 
17-9-21, 10:18:20, 1109.68, , , , , , , , 
17-9-21, 10:18:21, , , , 70.04, , , , , 
17-9-21, 10:20:19, , , , , 50.10, , , , 
17-9-21, 10:20:20, 1138.71, , , , , , , , 
17-9-21, 10:20:21, , , , 69.81, , , , , 
17-9-21, 10:22:19, , , , , 52.30, , , , 
17-9-21, 10:22:20, 1164.52, , , , , , , , 
17-9-21, 10:22:21, , , , 69.81, , , , , 
17-9-21, 10:22:22, , , , , , 838, , , 
17-9-21, 10:22:23, , , , , , , , , 1.00
17-9-21, 10:22:24, , 39.54, 78.30, , , , , , 
17-9-21, 10:24:19, , , , , 50.30, , , , 
17-9-21, 10:24:20, 1158.06, , , , , , , , 
17-9-21, 10:24:21, , , , 69.57, , , , , 
17-9-21, 10:26:19, , , , , 50.20, , , , 
17-9-21, 10:26:20, 1180.65, , , , , , , , 
17-9-21, 10:26:21, , , , 69.34, , , , , 
17-9-21, 10:27:22, , , , , , 795, , , 
17-9-21, 10:27:23, , , , , , , , , 1.00
17-9-21, 10:27:24, , 39.15, 78.42, , , , , , 
17-9-21, 10:28:19, , , , , 63.40, , , , 
17-9-21, 10:28:20, 1170.97, , , , , , , , 
17-9-21, 10:28:21, , , , 69.34, , , , , 
17-9-21, 10:30:19, , , , , 55.20, , , , 
17-9-21, 10:30:20, 1225.81, , , , , , , , 
17-9-21, 10:30:21, , , , 69.57, , , , , 
17-9-21, 10:32:19, , , , , 50.10, , , , 
17-9-21, 10:32:20, 1222.58, , , , , , , , 
17-9-21, 10:32:21, , , , 69.81, , , , , 
17-9-21, 10:32:22, , , , , , 770, , , 
17-9-21, 10:32:23, , , , , , , , , 1.00
17-9-21, 10:32:24, , 38.87, 78.48, , , , , , 
17-9-21, 10:34:19, , , , , 49.30, , , , 
17-9-21, 10:34:20, 1296.77, , , , , , , , 
17-9-21, 10:34:21, , , , 69.34, , , , , 
17-9-21, 10:36:19, , , , , 49.70, , , , 
17-9-21, 10:36:20, 1251.61, , , , , , , , 
17-9-21, 10:36:21, , , , 69.34, , , , , 
17-9-21, 10:37:22, , , , , , 806, , , 
17-9-21, 10:37:23, , , , , , , , , 1.00
17-9-21, 10:37:24, , 38.58, 78.62, , , , , , 
17-9-21, 10:38:19, , , , , 58.30, , , , 
17-9-21, 10:38:20, 1290.32, , , , , , , , 
17-9-21, 10:38:21, , , , 70.52, , , , , 
17-9-21, 10:40:19, , , , , 50.80, , , , 
17-9-21, 10:40:20, 1287.10, , , , , , , , 
17-9-21, 10:40:21, , , , 70.04, , , , , 
17-9-21, 10:42:19, , , , , 54.20, , , , 
17-9-21, 10:42:20, 1300.00, , , , , , , , 
17-9-21, 10:42:21, , , , 69.11, , , , , 
17-9-21, 10:42:22, , , , , , 760, , , 
17-9-21, 10:42:23, , , , , , , , , 1.00
17-9-21, 10:42:24, , 39.37, 78.24, , , , , , 
17-9-21, 10:44:19, , , , , 52.60, , , , 
17-9-21, 10:44:20, 1380.65, , , , , , , , 
17-9-21, 10:44:21, , , , 69.11, , , , , 
17-9-21, 10:46:19, , , , , 49.20, , , , 
17-9-21, 10:46:20, 1396.77, , , , , , , , 
17-9-21, 10:46:21, , , , 68.88, , , , , 
17-9-21, 10:47:22, , , , , , 701, , , 
17-9-21, 10:47:23, , , , , , , , , 1.00
17-9-21, 10:47:24, , 38.90, 78.19, , , , , , 
17-9-21, 10:48:19, , , , , 49.10, , , , 
17-9-21, 10:48:20, 1396.77, , , , , , , , 
17-9-21, 10:48:21, , , , 68.88, , , , , 
17-9-21, 10:50:19, , , , , 53.10, , , , 
17-9-21, 10:50:20, 1374.19, , , , , , , , 
17-9-21, 10:50:21, , , , 69.57, , , , , 
17-9-21, 10:52:22, , , , , , , 0.62, 0.62, 
17-9-21, 10:52:24, , , , , , , , , 1.00
17-9-21, 10:52:25, , 38.65, 78.28, , , , , , 
17-9-21, 10:52:33, , , , , 48.60, , , , 
17-9-21, 10:52:34, 1380.65, , , , , , , , 
17-9-21, 10:52:35, , , , 69.11, , , , , 
17-9-21, 10:52:36, , , , , , 670, , , 
17-9-21, 10:54:33, , , , , 49.40, , , , 
17-9-21, 10:54:34, 1387.10, , , , , , , , 
17-9-21, 10:54:35, , , , 69.57, , , , , 
17-9-21, 10:56:33, , , , , 51.20, , , , 
17-9-21, 10:56:34, 1348.39, , , , , , , , 
17-9-21, 10:56:35, , , , 69.81, , , , , 
17-9-21, 10:57:24, , , , , , , , , 1.00
17-9-21, 10:57:25, , 38.82, 78.11, , , , , , 
17-9-21, 10:57:36, , , , , , 666, , , 
17-9-21, 10:58:33, , , , , 49.20, , , , 
17-9-21, 10:58:34, 1316.13, , , , , , , , 
17-9-21, 10:58:36, , , , 69.11, , , , , 
17-9-21, 11:0:33, , , , , 50.10, , , , 
