Date, Time, Light, RH, Air Temp (F), Globe Temp, Sound (dB), CO2 (PPM), PM 2.5, PM 10, CO_SpecSensor
11/20/2017, 16:53:40, , , , ,37.7, , , , 
11/20/2017, 16:53:41,790.32, , , , , , , , 
11/20/2017, 16:53:42, , , ,77.6, , , , , 
11/20/2017, 16:55:40, , , , ,38.1, , , , 
11/20/2017, 16:55:41,783.87, , , , , , , , 
11/20/2017, 16:55:42, , , ,77.87, , , , , 
11/20/2017, 16:56:35, , , , , ,697, , , 
11/20/2017, 16:56:36, , , , , , , , ,0
11/20/2017, 16:56:37, ,35.45,77.75, , , , , , 
11/20/2017, 16:57:40, , , , ,38.8, , , , 
11/20/2017, 16:57:41,800, , , , , , , , 
11/20/2017, 16:57:42, , , ,77.87, , , , , 
11/20/2017, 16:59:40, , , , ,38.2, , , , 
11/20/2017, 16:59:41,800, , , , , , , , 
11/20/2017, 16:59:42, , , ,77.87, , , , , 
11/20/2017, 17:1:35, , , , , ,674, , , 
11/20/2017, 17:1:36, , , , , , , , ,0
11/20/2017, 17:1:37, ,33.36,78.98, , , , , , 
11/20/2017, 17:1:44, , , , ,37.4, , , , 
11/20/2017, 17:1:45,783.87, , , , , , , , 
11/20/2017, 17:1:46, , , ,77.87, , , , , 
11/20/2017, 17:3:44, , , , ,38, , , , 
11/20/2017, 17:3:45,467.74, , , , , , , , 
11/20/2017, 17:3:46, , , ,78.14, , , , , 
11/20/2017, 17:5:44, , , , ,37.1, , , , 
11/20/2017, 17:5:45,429.03, , , , , , , , 
11/20/2017, 17:5:46, , , ,77.87, , , , , 
11/20/2017, 17:6:35, , , , , ,701, , , 
11/20/2017, 17:6:36, , , , , , , , ,0
11/20/2017, 17:6:37, ,32.29,79.73, , , , , , 
11/20/2017, 17:7:44, , , , ,37.2, , , , 
11/20/2017, 17:7:45,464.52, , , , , , , , 
11/20/2017, 17:7:46, , , ,78.14, , , , , 
11/20/2017, 17:9:44, , , , ,37.1, , , , 
11/20/2017, 17:9:45,396.77, , , , , , , , 
11/20/2017, 17:9:46, , , ,77.87, , , , , 
11/20/2017, 17:11:35, , , , , ,695, , , 
11/20/2017, 17:11:36, , , , , , , , ,1
11/20/2017, 17:11:37, ,31.67,80.18, , , , , , 
11/20/2017, 17:11:44, , , , ,37.2, , , , 
11/20/2017, 17:11:45,393.55, , , , , , , , 
11/20/2017, 17:11:46, , , ,77.87, , , , , 
11/20/2017, 17:13:44, , , , ,37.8, , , , 
11/20/2017, 17:13:45,441.94, , , , , , , , 
11/20/2017, 17:13:46, , , ,78.14, , , , , 
11/20/2017, 17:15:44, , , , ,37.5, , , , 
11/20/2017, 17:15:45,387.1, , , , , , , , 
11/20/2017, 17:15:46, , , ,78.14, , , , , 
11/20/2017, 17:16:35, , , , , ,682, , , 
11/20/2017, 17:16:36, , , , , , , , ,0
11/20/2017, 17:16:37, ,31.04,80.54, , , , , , 
11/20/2017, 17:17:44, , , , ,37.6, , , , 
11/20/2017, 17:17:45,432.26, , , , , , , , 
11/20/2017, 17:17:46, , , ,78.14, , , , , 
11/20/2017, 17:19:44, , , , ,36.9, , , , 
11/20/2017, 17:19:45,406.45, , , , , , , , 
11/20/2017, 17:19:46, , , ,77.87, , , , , 
