Date, Time, Light, RH, Air Temp (F), Globe Temp, Sound (dB), CO2 (PPM), PM 2.5, PM 10, CO_SpecSensor
11/20/2017, 15:55:16, , , , ,40.6, , , , 
11/20/2017, 15:55:17,445.16, , , , , , , , 
11/20/2017, 15:55:18, , , ,72.45, , , , , 
11/20/2017, 15:57:16, , , , ,37.8, , , , 
11/20/2017, 15:57:17,435.48, , , , , , , , 
11/20/2017, 15:57:18, , , ,71.47, , , , , 
11/20/2017, 15:58:11, ,34.46,78.22, , , , , , 
11/20/2017, 15:58:13, , , , , ,649, , , 
11/20/2017, 15:58:14, , , , , , , , ,2
11/20/2017, 15:59:15, , , , ,38.4, , , , 
11/20/2017, 15:59:17,441.94, , , , , , , , 
11/20/2017, 15:59:18, , , ,70.99, , , , , 
11/20/2017, 16:1:15, , , , ,38.1, , , , 
11/20/2017, 16:1:17,448.39, , , , , , , , 
11/20/2017, 16:1:18, , , ,70.75, , , , , 
11/20/2017, 16:3:11, ,34.33,78.22, , , , , , 
11/20/2017, 16:3:18, , , , ,40.8, , , , 
11/20/2017, 16:3:19,467.74, , , , , , , , 
11/20/2017, 16:3:20, , , ,70.75, , , , , 
11/20/2017, 16:3:21, , , , , ,620, , , 
11/20/2017, 16:3:23, , , , , , , , ,2
11/20/2017, 16:5:17, , , , ,39, , , , 
11/20/2017, 16:5:19,496.77, , , , , , , , 
11/20/2017, 16:5:20, , , ,70.75, , , , , 
11/20/2017, 16:7:18, , , , ,42.9, , , , 
11/20/2017, 16:7:19,435.48, , , , , , , , 
11/20/2017, 16:7:20, , , ,70.52, , , , , 
11/20/2017, 16:8:11, ,34.71,78.11, , , , , , 
11/20/2017, 16:8:21, , , , , ,660, , , 
11/20/2017, 16:8:22, , , , , , , , ,2
11/20/2017, 16:9:18, , , , ,42.4, , , , 
11/20/2017, 16:9:19,409.68, , , , , , , , 
11/20/2017, 16:9:20, , , ,70.52, , , , , 
11/20/2017, 16:11:17, , , , ,38.6, , , , 
11/20/2017, 16:11:19,438.71, , , , , , , , 
11/20/2017, 16:11:20, , , ,70.28, , , , , 
11/20/2017, 16:13:11, ,34.81,77.99, , , , , , 
11/20/2017, 16:13:18, , , , ,38.3, , , , 
11/20/2017, 16:13:19,458.06, , , , , , , , 
11/20/2017, 16:13:20, , , ,70.28, , , , , 
11/20/2017, 16:13:21, , , , , ,681, , , 
11/20/2017, 16:13:22, , , , , , , , ,1
11/20/2017, 16:15:18, , , , ,41.2, , , , 
11/20/2017, 16:15:19,493.55, , , , , , , , 
11/20/2017, 16:15:20, , , ,70.28, , , , , 
11/20/2017, 16:17:18, , , , ,38.5, , , , 
11/20/2017, 16:17:19,470.97, , , , , , , , 
11/20/2017, 16:17:20, , , ,70.28, , , , , 
11/20/2017, 16:18:11, ,35.08,77.82, , , , , , 
11/20/2017, 16:18:21, , , , , ,643, , , 
11/20/2017, 16:18:22, , , , , , , , ,1
11/20/2017, 16:19:17, , , , ,38.8, , , , 
11/20/2017, 16:19:19,500, , , , , , , , 
11/20/2017, 16:19:20, , , ,70.52, , , , , 
11/20/2017, 16:21:17, , , , ,44.3, , , , 
11/20/2017, 16:21:19,487.1, , , , , , , , 
11/20/2017, 16:21:20, , , ,70.52, , , , , 
11/20/2017, 16:23:11, ,35.23,77.7, , , , , , 
11/20/2017, 16:23:18, , , , ,39, , , , 
11/20/2017, 16:23:19,503.23, , , , , , , , 
11/20/2017, 16:23:20, , , ,70.28, , , , , 
11/20/2017, 16:23:21, , , , , ,675, , , 
11/20/2017, 16:23:23, , , , , , , , ,0
11/20/2017, 16:25:18, , , , ,45.6, , , , 
11/20/2017, 16:25:19,493.55, , , , , , , , 
11/20/2017, 16:25:20, , , ,70.52, , , , , 
11/20/2017, 16:27:17, , , , ,38.7, , , , 
11/20/2017, 16:27:19,483.87, , , , , , , , 
11/20/2017, 16:27:20, , , ,70.52, , , , , 
11/20/2017, 16:28:11, ,35.2,77.61, , , , , , 
11/20/2017, 16:28:21, , , , , ,651, , , 
11/20/2017, 16:28:22, , , , , , , , ,1
