Date, Time, Light, RH, Air Temp (F), Globe Temp, Sound (dB), CO2 (PPM), PM 2.5, PM 10, CO_SpecSensor
11/10/2017, 11:55:26, , , , ,30, , , , 
11/10/2017, 11:55:27,948.39, , , , , , , , 
11/10/2017, 11:55:28, , , ,74.96, , , , , 
11/10/2017, 11:57:26, , , , ,30, , , , 
11/10/2017, 11:57:27,1045.16, , , , , , , , 
11/10/2017, 11:57:28, , , ,74.96, , , , , 
11/10/2017, 11:58:21, ,35.45,78.17, , , , , , 
11/10/2017, 11:58:23, , , , , ,624, , , 
11/10/2017, 11:58:24, , , , , , , , ,0
11/10/2017, 11:59:26, , , , ,30, , , , 
11/10/2017, 11:59:27,929.03, , , , , , , , 
11/10/2017, 11:59:28, , , ,74.96, , , , , 
11/10/2017, 12:1:26, , , , ,30, , , , 
11/10/2017, 12:1:27,1029.03, , , , , , , , 
11/10/2017, 12:1:28, , , ,74.96, , , , , 
11/10/2017, 12:3:21, ,34.51,78.71, , , , , , 
11/10/2017, 12:3:28, , , , ,30, , , , 
11/10/2017, 12:3:29,996.77, , , , , , , , 
11/10/2017, 12:3:30, , , ,74.96, , , , , 
11/10/2017, 12:3:31, , , , , ,628, , , 
11/10/2017, 12:3:32, , , , , , , , ,0
11/10/2017, 12:5:28, , , , ,30, , , , 
11/10/2017, 12:5:29,951.61, , , , , , , , 
11/10/2017, 12:5:30, , , ,74.96, , , , , 
11/10/2017, 12:7:28, , , , ,30, , , , 
11/10/2017, 12:7:29,880.65, , , , , , , , 
11/10/2017, 12:7:30, , , ,74.96, , , , , 
11/10/2017, 12:8:21, ,34.46,78.86, , , , , , 
11/10/2017, 12:8:31, , , , , ,613, , , 
11/10/2017, 12:8:32, , , , , , , , ,0
11/10/2017, 12:9:28, , , , ,30, , , , 
11/10/2017, 12:9:29,874.19, , , , , , , , 
11/10/2017, 12:9:30, , , ,74.7, , , , , 
11/10/2017, 12:11:28, , , , ,30, , , , 
11/10/2017, 12:11:29,932.26, , , , , , , , 
11/10/2017, 12:11:30, , , ,74.96, , , , , 
11/10/2017, 12:13:21, ,34.33,78.93, , , , , , 
11/10/2017, 12:13:28, , , , ,30, , , , 
11/10/2017, 12:13:29,980.65, , , , , , , , 
11/10/2017, 12:13:30, , , ,74.96, , , , , 
11/10/2017, 12:13:31, , , , , ,616, , , 
11/10/2017, 12:13:32, , , , , , , , ,0
11/10/2017, 12:15:28, , , , ,30, , , , 
11/10/2017, 12:15:29,1093.55, , , , , , , , 
11/10/2017, 12:15:30, , , ,74.96, , , , , 
11/10/2017, 12:17:28, , , , ,30, , , , 
11/10/2017, 12:17:29,1054.84, , , , , , , , 
11/10/2017, 12:17:30, , , ,75.22, , , , , 
11/10/2017, 12:18:21, ,34.35,78.91, , , , , , 
11/10/2017, 12:18:31, , , , , ,613, , , 
11/10/2017, 12:18:32, , , , , , , , ,0
11/10/2017, 12:19:28, , , , ,30, , , , 
11/10/2017, 12:19:29,954.84, , , , , , , , 
11/10/2017, 12:19:30, , , ,74.96, , , , , 
11/10/2017, 12:21:28, , , , ,30, , , , 
11/10/2017, 12:21:29,990.32, , , , , , , , 
11/10/2017, 12:21:30, , , ,74.96, , , , , 
11/10/2017, 12:23:21, ,34.09,78.98, , , , , , 
11/10/2017, 12:23:28, , , , ,30, , , , 
11/10/2017, 12:23:29,1022.58, , , , , , , , 
11/10/2017, 12:23:30, , , ,75.22, , , , , 
11/10/2017, 12:23:31, , , , , ,633, , , 
11/10/2017, 12:23:32, , , , , , , , ,0
11/10/2017, 12:25:28, , , , ,30, , , , 
11/10/2017, 12:25:29,890.32, , , , , , , , 
11/10/2017, 12:25:30, , , ,75.22, , , , , 
11/10/2017, 12:27:28, , , , ,30, , , , 
11/10/2017, 12:27:29,993.55, , , , , , , , 
11/10/2017, 12:27:30, , , ,74.96, , , , , 
11/10/2017, 12:28:21, ,34.33,78.93, , , , , , 
11/10/2017, 12:28:31, , , , , ,601, , , 
11/10/2017, 12:28:32, , , , , , , , ,0
11/10/2017, 12:29:28, , , , ,30, , , , 
11/10/2017, 12:29:29,961.29, , , , , , , , 
11/10/2017, 12:29:30, , , ,75.22, , , , , 
11/10/2017, 12:31:28, , , , ,30, , , , 
11/10/2017, 12:31:29,1003.23, , , , , , , , 
11/10/2017, 12:31:30, , , ,75.22, , , , , 
11/10/2017, 12:33:21, ,34.28,78.97, , , , , , 
11/10/2017, 12:33:28, , , , ,30, , , , 
11/10/2017, 12:33:29,1048.39, , , , , , , , 
11/10/2017, 12:33:30, , , ,74.96, , , , , 
11/10/2017, 12:33:31, , , , , ,615, , , 
11/10/2017, 12:33:32, , , , , , , , ,0
11/10/2017, 12:35:28, , , , ,30, , , , 
11/10/2017, 12:35:29,938.71, , , , , , , , 
11/10/2017, 12:35:30, , , ,74.96, , , , , 
11/10/2017, 12:37:28, , , , ,30, , , , 
11/10/2017, 12:37:29,896.77, , , , , , , , 
11/10/2017, 12:37:30, , , ,74.96, , , , , 
11/10/2017, 12:38:21, ,33.96,79.04, , , , , , 
11/10/2017, 12:38:31, , , , , ,621, , , 
11/10/2017, 12:38:32, , , , , , , , ,0
11/10/2017, 12:39:28, , , , ,30, , , , 
11/10/2017, 12:39:29,990.32, , , , , , , , 
11/10/2017, 12:39:30, , , ,74.96, , , , , 
11/10/2017, 12:41:28, , , , ,30, , , , 
11/10/2017, 12:41:29,919.35, , , , , , , , 
11/10/2017, 12:41:30, , , ,74.96, , , , , 
11/10/2017, 12:43:21, ,33.63,79.09, , , , , , 
11/10/2017, 12:43:28, , , , ,30, , , , 
11/10/2017, 12:43:29,1045.16, , , , , , , , 
11/10/2017, 12:43:30, , , ,74.96, , , , , 
11/10/2017, 12:43:31, , , , , ,648, , , 
11/10/2017, 12:43:32, , , , , , , , ,0
11/10/2017, 12:45:28, , , , ,30, , , , 
11/10/2017, 12:45:29,983.87, , , , , , , , 
11/10/2017, 12:45:30, , , ,74.96, , , , , 
11/10/2017, 12:47:28, , , , ,30, , , , 
11/10/2017, 12:47:29,1087.1, , , , , , , , 
11/10/2017, 12:47:30, , , ,74.96, , , , , 
11/10/2017, 12:48:21, ,33.86,79.04, , , , , , 
11/10/2017, 12:48:31, , , , , ,624, , , 
11/10/2017, 12:48:32, , , , , , , , ,0
11/10/2017, 12:49:28, , , , ,30, , , , 
11/10/2017, 12:49:29,1019.35, , , , , , , , 
11/10/2017, 12:49:30, , , ,74.96, , , , , 
11/10/2017, 12:51:28, , , , ,30, , , , 
11/10/2017, 12:51:29,906.45, , , , , , , , 
11/10/2017, 12:51:30, , , ,74.96, , , , , 
11/10/2017, 12:53:21, ,33.44,79.09, , , , , , 
