Date, Time, Light, RH, Air Temp (F), Globe Temp, Sound (dB), CO2 (PPM), PM 2.5, PM 10, CO_SpecSensor
17-9-20, 17:35:3, , , , , 38.60, , , , 
17-9-20, 17:35:4, 683.87, , , , , , , , 
17-9-20, 17:35:5, , , , 70.28, , , , , 
17-9-20, 17:37:3, , , , , 40.00, , , , 
17-9-20, 17:37:4, 674.19, , , , , , , , 
17-9-20, 17:37:5, , , , 69.34, , , , , 
17-9-20, 17:37:58, , , , , , 585, , , 
17-9-20, 17:37:59, , , , , , , , , 0.00
17-9-20, 17:38:1, , 42.63, 73.58, , , , , , 
17-9-20, 17:39:3, , , , , 39.90, , , , 
17-9-20, 17:39:4, 670.97, , , , , , , , 
17-9-20, 17:39:5, , , , 69.81, , , , , 
17-9-20, 17:41:3, , , , , 39.50, , , , 
17-9-20, 17:41:4, 677.42, , , , , , , , 
17-9-20, 17:41:5, , , , 70.04, , , , , 
17-9-20, 17:42:58, , , , , , 610, , , 
17-9-20, 17:42:59, , , , , , , , , 0.00
17-9-20, 17:43:1, , 42.06, 73.98, , , , , , 
17-9-20, 17:43:8, , , , , 38.10, , , , 
17-9-20, 17:43:9, 722.58, , , , , , , , 
17-9-20, 17:43:10, , , , 70.28, , , , , 
17-9-20, 17:45:7, , , , , 39.40, , , , 
17-9-20, 17:45:8, 632.26, , , , , , , , 
17-9-20, 17:45:9, , , , 70.75, , , , , 
17-9-20, 17:47:7, , , , , 38.70, , , , 
17-9-20, 17:47:8, 609.68, , , , , , , , 
17-9-20, 17:47:9, , , , 70.52, , , , , 
17-9-20, 17:47:58, , , , , , 612, , , 
17-9-20, 17:47:59, , , , , , , , , 0.00
17-9-20, 17:48:1, , 42.26, 73.53, , , , , , 
17-9-20, 17:49:7, , , , , 39.20, , , , 
17-9-20, 17:49:8, 670.97, , , , , , , , 
17-9-20, 17:49:9, , , , 70.75, , , , , 
17-9-20, 17:51:7, , , , , 41.40, , , , 
17-9-20, 17:51:8, 648.39, , , , , , , , 
17-9-20, 17:51:9, , , , 70.99, , , , , 
17-9-20, 17:52:58, , , , , , 635, , , 
17-9-20, 17:52:59, , , , , , , , , 0.00
17-9-20, 17:53:1, , 41.69, 73.78, , , , , , 
17-9-20, 17:53:8, , , , , 39.80, , , , 
17-9-20, 17:53:9, 654.84, , , , , , , , 
17-9-20, 17:53:10, , , , 70.99, , , , , 
17-9-20, 17:55:7, , , , , 38.60, , , , 
17-9-20, 17:55:8, 606.45, , , , , , , , 
17-9-20, 17:55:9, , , , 70.28, , , , , 
17-9-20, 17:57:7, , , , , 38.10, , , , 
17-9-20, 17:57:8, 561.29, , , , , , , , 
17-9-20, 17:57:9, , , , 70.04, , , , , 
17-9-20, 17:57:58, , , , , , 626, , , 
17-9-20, 17:57:59, , , , , , , , , 0.00
17-9-20, 17:58:1, , 42.33, 73.71, , , , , , 
17-9-20, 17:59:7, , , , , 38.30, , , , 
17-9-20, 17:59:8, 619.35, , , , , , , , 
17-9-20, 17:59:9, , , , 70.52, , , , , 
17-9-20, 18:1:7, , , , , 41.70, , , , 
17-9-20, 18:1:8, 638.71, , , , , , , , 
17-9-20, 18:1:9, , , , 70.99, , , , , 
17-9-20, 18:2:58, , , , , , 662, , , 
17-9-20, 18:2:59, , , , , , , , , 0.00
17-9-20, 18:3:1, , 41.42, 74.82, , , , , , 
17-9-20, 18:3:8, , , , , 39.20, , , , 
17-9-20, 18:3:9, 564.52, , , , , , , , 
17-9-20, 18:3:10, , , , 71.71, , , , , 
17-9-20, 18:5:7, , , , , 38.40, , , , 
17-9-20, 18:5:8, 619.35, , , , , , , , 
17-9-20, 18:5:9, , , , 72.45, , , , , 
17-9-20, 18:7:7, , , , , 37.40, , , , 
17-9-20, 18:7:8, 580.65, , , , , , , , 
17-9-20, 18:7:9, , , , 72.69, , , , , 
17-9-20, 18:7:58, , , , , , 659, , , 
17-9-20, 18:7:59, , , , , , , , , 0.00
17-9-20, 18:8:1, , 40.48, 75.63, , , , , , 
17-9-20, 18:9:7, , , , , 38.80, , , , 
17-9-20, 18:9:8, 580.65, , , , , , , , 
17-9-20, 18:9:9, , , , 72.69, , , , , 
17-9-20, 18:11:7, , , , , 40.90, , , , 
17-9-20, 18:11:8, 567.74, , , , , , , , 
17-9-20, 18:11:9, , , , 72.94, , , , , 
17-9-20, 18:12:58, , , , , , 643, , , 
17-9-20, 18:12:59, , , , , , , , , 0.00
17-9-20, 18:13:1, , 40.04, 76.05, , , , , , 
17-9-20, 18:13:8, , , , , 36.70, , , , 
17-9-20, 18:13:9, 554.84, , , , , , , , 
17-9-20, 18:13:10, , , , 73.19, , , , , 
17-9-20, 18:15:7, , , , , 39.50, , , , 
17-9-20, 18:15:8, 577.42, , , , , , , , 
17-9-20, 18:15:9, , , , 72.94, , , , , 
17-9-20, 18:17:7, , , , , 37.10, , , , 
17-9-20, 18:17:8, 564.52, , , , , , , , 
17-9-20, 18:17:9, , , , 72.94, , , , , 
17-9-20, 18:17:58, , , , , , 642, , , 
17-9-20, 18:17:59, , , , , , , , , 0.00
17-9-20, 18:18:1, , 39.76, 76.28, , , , , , 
17-9-20, 18:19:7, , , , , 39.60, , , , 
17-9-20, 18:19:8, 503.23, , , , , , , , 
17-9-20, 18:19:9, , , , 73.19, , , , , 
17-9-20, 18:21:7, , , , , 40.40, , , , 
17-9-20, 18:21:8, 580.65, , , , , , , , 
17-9-20, 18:21:9, , , , 73.19, , , , , 
17-9-20, 18:22:58, , , , , , 688, , , 
17-9-20, 18:22:59, , , , , , , , , 0.00
17-9-20, 18:23:1, , 39.57, 76.46, , , , , , 
17-9-20, 18:23:8, , , , , 37.50, , , , 
17-9-20, 18:23:9, 512.90, , , , , , , , 
17-9-20, 18:23:10, , , , 73.19, , , , , 
17-9-20, 18:25:7, , , , , 38.20, , , , 
17-9-20, 18:25:8, 519.35, , , , , , , , 
17-9-20, 18:25:9, , , , 73.19, , , , , 
17-9-20, 18:27:7, , , , , 39.30, , , , 
17-9-20, 18:27:8, 493.55, , , , , , , , 
17-9-20, 18:27:9, , , , 73.44, , , , , 
17-9-20, 18:27:58, , , , , , 649, , , 
17-9-20, 18:27:59, , , , , , , , , 0.00
17-9-20, 18:28:1, , 39.39, 76.66, , , , , , 
17-9-20, 18:29:7, , , , , 37.70, , , , 
17-9-20, 18:29:8, 558.06, , , , , , , , 
17-9-20, 18:29:9, , , , 73.44, , , , , 
17-9-20, 18:31:7, , , , , 40.70, , , , 
17-9-20, 18:31:8, 509.68, , , , , , , , 
17-9-20, 18:31:9, , , , 73.69, , , , , 
17-9-20, 18:32:58, , , , , , 679, , , 
17-9-20, 18:32:59, , , , , , , , , 11.00
17-9-20, 18:33:1, , 39.29, 76.79, , , , , , 
17-9-20, 18:33:8, , , , , 35.50, , , , 
17-9-20, 18:33:9, 519.35, , , , , , , , 
17-9-20, 18:33:10, , , , 70.75, , , , , 
17-9-20, 18:35:7, , , , , , , 0.62, 0.62, 
17-9-20, 18:35:14, , , , , 70.50, , , , 
17-9-20, 18:35:15, 570.97, , , , , , , , 
17-9-20, 18:35:16, , , , 73.44, , , , , 
17-9-20, 18:37:14, , , , , 39.30, , , , 
17-9-20, 18:37:15, 496.77, , , , , , , , 
17-9-20, 18:37:16, , , , 73.44, , , , , 
17-9-20, 18:37:58, , , , , , 632, , , 
17-9-20, 18:37:59, , , , , , , , , 0.00
17-9-20, 18:38:1, , 38.92, 77.15, , , , , , 
17-9-20, 18:39:14, , , , , 37.80, , , , 
17-9-20, 18:39:15, 474.19, , , , , , , , 
17-9-20, 18:39:16, , , , 73.69, , , , , 
17-9-20, 18:41:14, , , , , 37.50, , , , 
17-9-20, 18:41:15, 516.13, , , , , , , , 
17-9-20, 18:41:16, , , , 73.69, , , , , 
17-9-20, 18:42:58, , , , , , 655, , , 
17-9-20, 18:42:59, , , , , , , , , 0.00
17-9-20, 18:43:1, , 38.92, 77.21, , , , , , 
17-9-20, 18:43:14, , , , , 39.10, , , , 
17-9-20, 18:43:15, 474.19, , , , , , , , 
17-9-20, 18:43:16, , , , 73.69, , , , , 
17-9-20, 18:45:14, , , , , 35.90, , , , 
17-9-20, 18:45:15, 538.71, , , , , , , , 
17-9-20, 18:45:16, , , , 73.69, , , , , 
17-9-20, 18:47:14, , , , , 35.90, , , , 
17-9-20, 18:47:15, 512.90, , , , , , , , 
17-9-20, 18:47:16, , , , 73.69, , , , , 
17-9-20, 18:47:58, , , , , , 669, , , 
17-9-20, 18:47:59, , , , , , , , , 0.00
17-9-20, 18:48:1, , 38.98, 77.26, , , , , , 
17-9-20, 18:49:14, , , , , 39.20, , , , 
17-9-20, 18:49:15, 483.87, , , , , , , , 
17-9-20, 18:49:16, , , , 73.94, , , , , 
17-9-20, 18:51:14, , , , , 37.10, , , , 
17-9-20, 18:51:15, 519.35, , , , , , , , 
17-9-20, 18:51:16, , , , 73.69, , , , , 
17-9-20, 18:52:58, , , , , , 649, , , 
17-9-20, 18:52:59, , , , , , , , , 0.00
17-9-20, 18:53:1, , 38.98, 77.28, , , , , , 
17-9-20, 18:53:14, , , , , 37.80, , , , 
17-9-20, 18:53:15, 448.39, , , , , , , , 
17-9-20, 18:53:16, , , , 73.69, , , , , 
17-9-20, 18:55:14, , , , , 37.80, , , , 
17-9-20, 18:55:15, 451.61, , , , , , , , 
